Phenotype,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - EBV-transformed lymphocytes,Cells - Transformed fibroblasts,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
Duration of light DIY,228,10,174,57,176,32,59,103,40,54,97,168,206,95,102,104,74,185,207,161,104,158,246,138,83,251,90,213,143,231,71,208,176,14,188,248,195,147,76,165,148,35,256,222,20,32,43,79,153,44,233,19,123
Alcohol usually taken with meals,194,36,23,217,67,207,163,229,113,181,196,249,32,97,196,169,98,152,155,199,76,38,28,103,184,37,239,153,186,86,199,28,236,142,201,92,71,255,133,232,12,252,34,56,250,215,176,229,101,225,130,38
Alcohol intake versus 10 years previously,190,187,25,87,227,225,180,1,237,0,157,160,172,188,163,142,130,167,189,141,27,6,2,34,38,213,151,37,20,44,175,171,135,236,113,177,10,20,28,114,228,181,162,165,103,175,188,34,151,112,235,162
Comparative body size at age 10,45,252,57,30,233,217,30,5,115,222,113,227,111,12,73,203,237,185,256,84,104,16,200,50,212,131,59,197,190,162,247,60,155,39,176,42,145,187,72,97,225,165,218,52,91,231,216,106,207,131,86,182
Comparative height size at age 10,6,160,187,42,148,42,101,199,34,241,87,132,169,225,174,127,227,30,208,39,136,12,75,107,132,55,250,26,64,3,169,196,174,195,1,121,187,218,61,41,148,1,45,228,8,179,231,190,100,42,130,174
Handedness (chirality/laterality): Left-handed,61,155,57,45,98,177,250,45,203,57,211,128,145,8,147,3,87,105,38,197,47,55,183,51,128,156,193,136,158,182,195,178,123,234,83,211,196,182,85,234,40,41,54,5,81,38,59,30,184,157,91,116
Adopted as a child,233,191,141,57,111,51,66,27,120,102,173,107,3,191,233,10,153,251,23,63,157,115,212,65,11,230,111,65,165,200,233,17,251,57,255,240,58,134,253,38,206,250,55,58,230,231,164,184,106,52,234,29
Maternal smoking around birth,125,119,178,95,156,126,6,224,167,0,84,160,101,220,4,179,31,108,188,61,127,58,254,136,170,15,205,33,59,179,47,107,123,211,2,73,215,101,56,69,231,157,26,130,44,164,98,157,75,124,175,179
Father still alive,208,180,107,188,74,97,15,191,65,11,8,209,173,167,161,153,170,135,244,36,19,131,146,190,247,190,170,125,213,31,22,216,62,159,186,191,89,168,81,17,190,145,127,80,255,112,3,33,255,79,216,172
Father's age at death,190,187,25,87,227,225,180,1,237,0,157,160,172,188,163,142,130,167,189,141,27,6,2,34,38,213,151,37,20,44,175,171,135,236,113,177,10,20,28,114,228,181,162,165,103,175,188,34,151,112,235,162
Father's age at death,80,73,121,114,126,246,72,30,182,229,52,106,190,47,60,130,182,52,116,106,4,244,115,212,193,158,247,165,100,105,19,248,117,173,58,12,148,119,41,89,89,49,210,112,221,61,0,213,23,245,150,184
Mother still alive,61,155,57,45,98,177,250,45,203,57,211,128,145,8,147,3,87,105,38,197,47,55,183,51,128,156,193,136,158,182,195,178,123,234,83,211,196,182,85,234,40,41,54,5,81,38,59,30,184,157,91,116
Townsend deprivation index at recruitment,236,192,50,235,50,14,12,8,28,150,158,8,14,6,231,140,12,48,139,115,90,218,107,15,60,203,104,126,174,18,110,113,222,129,105,255,67,181,159,210,70,138,181,104,62,22,184,18,130,67,132,63
Townsend deprivation index at recruitment,239,236,57,157,191,248,55,223,34,238,210,150,55,145,218,99,58,148,157,170,153,131,229,180,146,143,81,49,112,153,108,86,8,64,243,80,42,221,74,201,172,14,9,160,201,225,174,110,54,112,141,29
Mood swings,27,75,118,188,255,251,131,214,192,220,179,73,75,78,188,216,170,187,216,196,105,194,195,65,226,241,75,51,200,173,252,60,64,32,131,122,89,8,218,198,81,47,220,151,111,75,223,107,54,56,115,90
Miserableness,215,196,30,75,222,160,157,47,132,61,40,14,114,110,16,128,9,237,244,99,77,234,165,79,87,96,167,225,218,81,90,215,217,9,117,20,172,91,154,170,176,176,177,112,59,50,252,189,75,74,4,73
Irritability,80,73,121,114,126,246,72,30,182,229,52,106,190,47,60,130,182,52,116,106,4,244,115,212,193,158,247,165,100,105,19,248,117,173,58,12,148,119,41,89,89,49,210,112,221,61,0,213,23,245,150,184
Sensitivity / hurt feelings,233,191,141,57,111,51,66,27,120,102,173,107,3,191,233,10,153,251,23,63,157,115,212,65,11,230,111,65,165,200,233,17,251,57,255,240,58,134,253,38,206,250,55,58,230,231,164,184,106,52,234,29
Fed-up feelings,17,175,105,54,45,99,13,125,47,84,88,6,142,132,145,46,151,132,208,152,202,8,172,72,31,96,43,161,204,62,61,11,89,196,161,123,75,34,110,181,164,133,5,198,173,30,16,13,244,240,179,219
Nervous feelings,80,73,121,114,126,246,72,30,182,229,52,106,190,47,60,130,182,52,116,106,4,244,115,212,193,158,247,165,100,105,19,248,117,173,58,12,148,119,41,89,89,49,210,112,221,61,0,213,23,245,150,184
Worrier / anxious feelings,208,180,107,188,74,97,15,191,65,11,8,209,173,167,161,153,170,135,244,36,19,131,146,190,247,190,170,125,213,31,22,216,62,159,186,191,89,168,81,17,190,145,127,80,255,112,3,33,255,79,216,172
Tense / 'highly strung',27,75,118,188,255,251,131,214,192,220,179,73,75,78,188,216,170,187,216,196,105,194,195,65,226,241,75,51,200,173,252,60,64,32,131,122,89,8,218,198,81,47,220,151,111,75,223,107,54,56,115,90
Worry too long after embarrassment,233,191,141,57,111,51,66,27,120,102,173,107,3,191,233,10,153,251,23,63,157,115,212,65,11,230,111,65,165,200,233,17,251,57,255,240,58,134,253,38,206,250,55,58,230,231,164,184,106,52,234,29
Treatment/medication code: lisinopril,194,36,23,217,67,207,163,229,113,181,196,249,32,97,196,169,98,152,155,199,76,38,28,103,184,37,239,153,186,86,199,28,236,142,201,92,71,255,133,232,12,252,34,56,250,215,176,229,101,225,130,38
Treatment/medication code: coversyl 2mg tablet,4,35,205,22,82,160,108,195,222,94,228,56,197,107,185,46,239,222,207,124,209,251,183,250,236,170,198,249,99,78,218,127,226,60,200,236,211,128,167,30,101,31,203,67,227,89,164,156,48,62,203,163
Treatment/medication code: ramipril,17,175,105,54,45,99,13,125,47,84,88,6,142,132,145,46,151,132,208,152,202,8,172,72,31,96,43,161,204,62,61,11,89,196,161,123,75,34,110,181,164,133,5,198,173,30,16,13,244,240,179,219
Treatment/medication code: nitrolingual 400micrograms spray,235,70,53,209,127,110,108,20,143,19,82,109,97,229,160,51,172,138,144,169,203,170,54,161,213,14,13,234,196,35,244,121,45,188,242,236,226,213,208,234,106,182,129,110,72,132,119,68,224,182,138,56
Treatment/medication code: isosorbide mononitrate,190,187,25,87,227,225,180,1,237,0,157,160,172,188,163,142,130,167,189,141,27,6,2,34,38,213,151,37,20,44,175,171,135,236,113,177,10,20,28,114,228,181,162,165,103,175,188,34,151,112,235,162
Treatment/medication code: simvastatin,215,196,30,75,222,160,157,47,132,61,40,14,114,110,16,128,9,237,244,99,77,234,165,79,87,96,167,225,218,81,90,215,217,9,117,20,172,91,154,170,176,176,177,112,59,50,252,189,75,74,4,73
Treatment/medication code: ventolin 100micrograms inhaler
Treatment/medication code: salmeterol,6,160,187,42,148,42,101,199,34,241,87,132,169,225,174,127,227,30,208,39,136,12,75,107,132,55,250,26,64,3,169,196,174,195,1,121,187,218,61,41,148,1,45,228,8,179,231,190,100,42,130,174
Treatment/medication code: atrovent 20micrograms inhaler,45,252,57,30,233,217,30,5,115,222,113,227,111,12,73,203,237,185,256,84,104,16,200,50,212,131,59,197,190,162,247,60,155,39,176,42,145,187,72,97,225,165,218,52,91,231,216,106,207,131,86,182
Treatment/medication code: becotide 50 inhaler,215,196,30,75,222,160,157,47,132,61,40,14,114,110,16,128,9,237,244,99,77,234,165,79,87,96,167,225,218,81,90,215,217,9,117,20,172,91,154,170,176,176,177,112,59,50,252,189,75,74,4,73
Treatment/medication code: beclazone 50 inhaler,27,75,118,188,255,251,131,214,192,220,179,73,75,78,188,216,170,187,216,196,105,194,195,65,226,241,75,51,200,173,252,60,64,32,131,122,89,8,218,198,81,47,220,151,111,75,223,107,54,56,115,90
Treatment/medication code: zopiclone,239,236,57,157,191,248,55,223,34,238,210,150,55,145,218,99,58,148,157,170,153,131,229,180,146,143,81,49,112,153,108,86,8,64,243,80,42,221,74,201,172,14,9,160,201,225,174,110,54,112,141,29
Treatment/medication code: kapake tablet,208,180,107,188,74,97,15,191,65,11,8,209,173,167,161,153,170,135,244,36,19,131,146,190,247,190,170,125,213,31,22,216,62,159,186,191,89,168,81,17,190,145,127,80,255,112,3,33,255,79,216,172
Treatment/medication code: lisinopril+hydrochlorothiazide 10mg/12.5mg tablet,233,191,141,57,111,51,66,27,120,102,173,107,3,191,233,10,153,251,23,63,157,115,212,65,11,230,111,65,165,200,233,17,251,57,255,240,58,134,253,38,206,250,55,58,230,231,164,184,106,52,234,29
Treatment/medication code: mesalazine,80,73,121,114,126,246,72,30,182,229,52,106,190,47,60,130,182,52,116,106,4,244,115,212,193,158,247,165,100,105,19,248,117,173,58,12,148,119,41,89,89,49,210,112,221,61,0,213,23,245,150,184
Treatment/medication code: senna,82,228,215,43,16,68,233,198,246,179,74,99,44,136,192,144,97,195,194,50,10,243,111,19,218,99,211,87,117,12,84,231,57,156,75,112,110,222,228,235,247,236,207,10,48,256,225,148,7,173,106,176
Treatment/medication code: atenolol,194,36,23,217,67,207,163,229,113,181,196,249,32,97,196,169,98,152,155,199,76,38,28,103,184,37,239,153,186,86,199,28,236,142,201,92,71,255,133,232,12,252,34,56,250,215,176,229,101,225,130,38
Treatment/medication code: aspirin,235,70,53,209,127,110,108,20,143,19,82,109,97,229,160,51,172,138,144,169,203,170,54,161,213,14,13,234,196,35,244,121,45,188,242,236,226,213,208,234,106,182,129,110,72,132,119,68,224,182,138,56
Treatment/medication code: vitamin b12 preparation,4,35,205,22,82,160,108,195,222,94,228,56,197,107,185,46,239,222,207,124,209,251,183,250,236,170,198,249,99,78,218,127,226,60,200,236,211,128,167,30,101,31,203,67,227,89,164,156,48,62,203,163
Treatment/medication code: ibuprofen,236,192,50,235,50,14,12,8,28,150,158,8,14,6,231,140,12,48,139,115,90,218,107,15,60,203,104,126,174,18,110,113,222,129,105,255,67,181,159,210,70,138,181,104,62,22,184,18,130,67,132,63
Treatment/medication code: morphine,45,252,57,30,233,217,30,5,115,222,113,227,111,12,73,203,237,185,256,84,104,16,200,50,212,131,59,197,190,162,247,60,155,39,176,42,145,187,72,97,225,165,218,52,91,231,216,106,207,131,86,182
Treatment/medication code: nicotine product,17,175,105,54,45,99,13,125,47,84,88,6,142,132,145,46,151,132,208,152,202,8,172,72,31,96,43,161,204,62,61,11,89,196,161,123,75,34,110,181,164,133,5,198,173,30,16,13,244,240,179,219
Treatment/medication code: tetralysal 300 capsule
Treatment/medication code: quinine,27,75,118,188,255,251,131,214,192,220,179,73,75,78,188,216,170,187,216,196,105,194,195,65,226,241,75,51,200,173,252,60,64,32,131,122,89,8,218,198,81,47,220,151,111,75,223,107,54,56,115,90
Treatment/medication code: gliclazide,125,119,178,95,156,126,6,224,167,0,84,160,101,220,4,179,31,108,188,61,127,58,254,136,170,15,205,33,59,179,47,107,123,211,2,73,215,101,56,69,231,157,26,130,44,164,98,157,75,124,175,179
Treatment/medication code: carbimazole
Treatment/medication code: prednisolone,233,191,141,57,111,51,66,27,120,102,173,107,3,191,233,10,153,251,23,63,157,115,212,65,11,230,111,65,165,200,233,17,251,57,255,240,58,134,253,38,206,250,55,58,230,231,164,184,106,52,234,29
Treatment/medication code: allopurinol,6,160,187,42,148,42,101,199,34,241,87,132,169,225,174,127,227,30,208,39,136,12,75,107,132,55,250,26,64,3,169,196,174,195,1,121,187,218,61,41,148,1,45,228,8,179,231,190,100,42,130,174
Treatment/medication code: beconase 50micrograms nasal spray,239,236,57,157,191,248,55,223,34,238,210,150,55,145,218,99,58,148,157,170,153,131,229,180,146,143,81,49,112,153,108,86,8,64,243,80,42,221,74,201,172,14,9,160,201,225,174,110,54,112,141,29
Treatment/medication code: rhinocort 50micrograms nasal spray,215,196,30,75,222,160,157,47,132,61,40,14,114,110,16,128,9,237,244,99,77,234,165,79,87,96,167,225,218,81,90,215,217,9,117,20,172,91,154,170,176,176,177,112,59,50,252,189,75,74,4,73
Treatment/medication code: aqueous cream bp,80,73,121,114,126,246,72,30,182,229,52,106,190,47,60,130,182,52,116,106,4,244,115,212,193,158,247,165,100,105,19,248,117,173,58,12,148,119,41,89,89,49,210,112,221,61,0,213,23,245,150,184
Treatment/medication code: ranitidine,82,228,215,43,16,68,233,198,246,179,74,99,44,136,192,144,97,195,194,50,10,243,111,19,218,99,211,87,117,12,84,231,57,156,75,112,110,222,228,235,247,236,207,10,48,256,225,148,7,173,106,176
Treatment/medication code: fluoxetine,80,73,121,114,126,246,72,30,182,229,52,106,190,47,60,130,182,52,116,106,4,244,115,212,193,158,247,165,100,105,19,248,117,173,58,12,148,119,41,89,89,49,210,112,221,61,0,213,23,245,150,184
Treatment/medication code: dothiepin
Treatment/medication code: bisoprolol,190,187,25,87,227,225,180,1,237,0,157,160,172,188,163,142,130,167,189,141,27,6,2,34,38,213,151,37,20,44,175,171,135,236,113,177,10,20,28,114,228,181,162,165,103,175,188,34,151,112,235,162
Treatment/medication code: doxazosin,208,180,107,188,74,97,15,191,65,11,8,209,173,167,161,153,170,135,244,36,19,131,146,190,247,190,170,125,213,31,22,216,62,159,186,191,89,168,81,17,190,145,127,80,255,112,3,33,255,79,216,172
Treatment/medication code: amlodipine,76,190,20,188,230,77,57,36,70,115,75,223,219,25,36,89,83,76,232,245,184,102,170,58,110,4,154,14,141,72,109,124,3,42,251,126,140,112,196,91,129,62,193,254,220,10,225,252,239,82,166,82
Treatment/medication code: salbutamol,80,73,121,114,126,246,72,30,182,229,52,106,190,47,60,130,182,52,116,106,4,244,115,212,193,158,247,165,100,105,19,248,117,173,58,12,148,119,41,89,89,49,210,112,221,61,0,213,23,245,150,184
Treatment/medication code: eumovate cream,27,75,118,188,255,251,131,214,192,220,179,73,75,78,188,216,170,187,216,196,105,194,195,65,226,241,75,51,200,173,252,60,64,32,131,122,89,8,218,198,81,47,220,151,111,75,223,107,54,56,115,90
Treatment/medication code: insulin product,45,252,57,30,233,217,30,5,115,222,113,227,111,12,73,203,237,185,256,84,104,16,200,50,212,131,59,197,190,162,247,60,155,39,176,42,145,187,72,97,225,165,218,52,91,231,216,106,207,131,86,182
Treatment/medication code: codeine,4,35,205,22,82,160,108,195,222,94,228,56,197,107,185,46,239,222,207,124,209,251,183,250,236,170,198,249,99,78,218,127,226,60,200,236,211,128,167,30,101,31,203,67,227,89,164,156,48,62,203,163
Treatment/medication code: thyroxine product,215,196,30,75,222,160,157,47,132,61,40,14,114,110,16,128,9,237,244,99,77,234,165,79,87,96,167,225,218,81,90,215,217,9,117,20,172,91,154,170,176,176,177,112,59,50,252,189,75,74,4,73
Treatment/medication code: metformin,194,36,23,217,67,207,163,229,113,181,196,249,32,97,196,169,98,152,155,199,76,38,28,103,184,37,239,153,186,86,199,28,236,142,201,92,71,255,133,232,12,252,34,56,250,215,176,229,101,225,130,38
Treatment/medication code: mometasone,233,191,141,57,111,51,66,27,120,102,173,107,3,191,233,10,153,251,23,63,157,115,212,65,11,230,111,65,165,200,233,17,251,57,255,240,58,134,253,38,206,250,55,58,230,231,164,184,106,52,234,29
Treatment/medication code: warfarin,6,160,187,42,148,42,101,199,34,241,87,132,169,225,174,127,227,30,208,39,136,12,75,107,132,55,250,26,64,3,169,196,174,195,1,121,187,218,61,41,148,1,45,228,8,179,231,190,100,42,130,174
Treatment/medication code: verapamil,82,228,215,43,16,68,233,198,246,179,74,99,44,136,192,144,97,195,194,50,10,243,111,19,218,99,211,87,117,12,84,231,57,156,75,112,110,222,228,235,247,236,207,10,48,256,225,148,7,173,106,176
Treatment/medication code: fosinopril,236,192,50,235,50,14,12,8,28,150,158,8,14,6,231,140,12,48,139,115,90,218,107,15,60,203,104,126,174,18,110,113,222,129,105,255,67,181,159,210,70,138,181,104,62,22,184,18,130,67,132,63
Treatment/medication code: flecainide,17,175,105,54,45,99,13,125,47,84,88,6,142,132,145,46,151,132,208,152,202,8,172,72,31,96,43,161,204,62,61,11,89,196,161,123,75,34,110,181,164,133,5,198,173,30,16,13,244,240,179,219
Treatment/medication code: nicorandil,235,70,53,209,127,110,108,20,143,19,82,109,97,229,160,51,172,138,144,169,203,170,54,161,213,14,13,234,196,35,244,121,45,188,242,236,226,213,208,234,106,182,129,110,72,132,119,68,224,182,138,56
Treatment/medication code: flax oil tablet,27,75,118,188,255,251,131,214,192,220,179,73,75,78,188,216,170,187,216,196,105,194,195,65,226,241,75,51,200,173,252,60,64,32,131,122,89,8,218,198,81,47,220,151,111,75,223,107,54,56,115,90
Treatment/medication code: venlafaxine,215,196,30,75,222,160,157,47,132,61,40,14,114,110,16,128,9,237,244,99,77,234,165,79,87,96,167,225,218,81,90,215,217,9,117,20,172,91,154,170,176,176,177,112,59,50,252,189,75,74,4,73
Treatment/medication code: losartan,208,180,107,188,74,97,15,191,65,11,8,209,173,167,161,153,170,135,244,36,19,131,146,190,247,190,170,125,213,31,22,216,62,159,186,191,89,168,81,17,190,145,127,80,255,112,3,33,255,79,216,172
Treatment/medication code: citalopram,45,252,57,30,233,217,30,5,115,222,113,227,111,12,73,203,237,185,256,84,104,16,200,50,212,131,59,197,190,162,247,60,155,39,176,42,145,187,72,97,225,165,218,52,91,231,216,106,207,131,86,182
Treatment/medication code: alendronate sodium,4,35,205,22,82,160,108,195,222,94,228,56,197,107,185,46,239,222,207,124,209,251,183,250,236,170,198,249,99,78,218,127,226,60,200,236,211,128,167,30,101,31,203,67,227,89,164,156,48,62,203,163
Treatment/medication code: co-amilofruse,6,160,187,42,148,42,101,199,34,241,87,132,169,225,174,127,227,30,208,39,136,12,75,107,132,55,250,26,64,3,169,196,174,195,1,121,187,218,61,41,148,1,45,228,8,179,231,190,100,42,130,174
Treatment/medication code: antihistamine 60mg tablet,233,191,141,57,111,51,66,27,120,102,173,107,3,191,233,10,153,251,23,63,157,115,212,65,11,230,111,65,165,200,233,17,251,57,255,240,58,134,253,38,206,250,55,58,230,231,164,184,106,52,234,29
Treatment/medication code: terbinafine,80,73,121,114,126,246,72,30,182,229,52,106,190,47,60,130,182,52,116,106,4,244,115,212,193,158,247,165,100,105,19,248,117,173,58,12,148,119,41,89,89,49,210,112,221,61,0,213,23,245,150,184
Treatment/medication code: xalatan 0.005% eye drops,82,228,215,43,16,68,233,198,246,179,74,99,44,136,192,144,97,195,194,50,10,243,111,19,218,99,211,87,117,12,84,231,57,156,75,112,110,222,228,235,247,236,207,10,48,256,225,148,7,173,106,176
Treatment/medication code: atorvastatin,15,213,46,54,199,180,157,7,235,11,139,63,251,200,111,233,10,29,173,106,8,228,58,69,208,14,108,22,179,111,223,97,213,223,18,48,66,213,154,28,136,68,32,166,117,189,221,18,216,199,72,251
Treatment/medication code: candesartan cilexetil,239,236,57,157,191,248,55,223,34,238,210,150,55,145,218,99,58,148,157,170,153,131,229,180,146,143,81,49,112,153,108,86,8,64,243,80,42,221,74,201,172,14,9,160,201,225,174,110,54,112,141,29
Treatment/medication code: salmeterol product,125,119,178,95,156,126,6,224,167,0,84,160,101,220,4,179,31,108,188,61,127,58,254,136,170,15,205,33,59,179,47,107,123,211,2,73,215,101,56,69,231,157,26,130,44,164,98,157,75,124,175,179
Treatment/medication code: salmeterol+fluticasone propionate,15,213,46,54,199,180,157,7,235,11,139,63,251,200,111,233,10,29,173,106,8,228,58,69,208,14,108,22,179,111,223,97,213,223,18,48,66,213,154,28,136,68,32,166,117,189,221,18,216,199,72,251
Treatment/medication code: adcal-d3 1.5g/10micrograms chewable tablet,233,191,141,57,111,51,66,27,120,102,173,107,3,191,233,10,153,251,23,63,157,115,212,65,11,230,111,65,165,200,233,17,251,57,255,240,58,134,253,38,206,250,55,58,230,231,164,184,106,52,234,29
Treatment/medication code: clopidogrel,82,228,215,43,16,68,233,198,246,179,74,99,44,136,192,144,97,195,194,50,10,243,111,19,218,99,211,87,117,12,84,231,57,156,75,112,110,222,228,235,247,236,207,10,48,256,225,148,7,173,106,176
Treatment/medication code: symbicort 100/6 turbohaler,235,70,53,209,127,110,108,20,143,19,82,109,97,229,160,51,172,138,144,169,203,170,54,161,213,14,13,234,196,35,244,121,45,188,242,236,226,213,208,234,106,182,129,110,72,132,119,68,224,182,138,56
Treatment/medication code: seretide 50 evohaler,194,36,23,217,67,207,163,229,113,181,196,249,32,97,196,169,98,152,155,199,76,38,28,103,184,37,239,153,186,86,199,28,236,142,201,92,71,255,133,232,12,252,34,56,250,215,176,229,101,225,130,38
Treatment/medication code: rosiglitazone,215,196,30,75,222,160,157,47,132,61,40,14,114,110,16,128,9,237,244,99,77,234,165,79,87,96,167,225,218,81,90,215,217,9,117,20,172,91,154,170,176,176,177,112,59,50,252,189,75,74,4,73
Treatment/medication code: fybogel orange s/f granules,17,175,105,54,45,99,13,125,47,84,88,6,142,132,145,46,151,132,208,152,202,8,172,72,31,96,43,161,204,62,61,11,89,196,161,123,75,34,110,181,164,133,5,198,173,30,16,13,244,240,179,219
